	Identifier	PE	GRAVY	Description
0	NX_A0A075B6N3-1	3	-0.24695652173913046	"NX_A0A075B6N3-1
nP20K TRBV24-1
TRBV24-1 T cell
receptor beta
variable 24-1
isoform Iso 1 PE=3"
1	NX_A0A075B6N4-1	3	-0.30087719298245613	"NX_A0A075B6N4-1
nP20K TRBV25-1
TRBV25-1 T cell
receptor beta
variable 25-1
isoform Iso 1 PE=3"
2	NX_A0A075B6T7-1	3	-0.3515151515151517	"NX_A0A075B6T7-1
nP20K TRAV6 TRAV6 T
cell receptor alpha
variable 6 isoform
Iso 1 PE=3"
3	NX_A0A075B6T8-1	3	-0.34910714285714295	"NX_A0A075B6T8-1
nP20K TRAV9-1
TRAV9-1 T cell
receptor alpha
variable 9-1 isoform
Iso 1 PE=3"
4	NX_A0A075B6U4-1	3	-0.33482142857142866	"NX_A0A075B6U4-1
nP20K TRAV7 TRAV7 T
cell receptor alpha
variable 7 isoform
Iso 1 PE=3"
5	NX_A0A075B6V5-1	3	0.204424778761062	"NX_A0A075B6V5-1
nP20K TRAV36DV7
TRAV36DV7 T cell
receptor alpha
variable 36/delta
variable 7 isoform
Iso 1 PE=3"
6	NX_A0A075B6W5-1	3	-0.284297520661157	"NX_A0A075B6W5-1
nP20K TRAV23DV6
TRAV23DV6 T cell
receptor alpha
variable 23/delta
variable 6 isoform
Iso 1 PE=3"
7	NX_A0A075B6X5-1	3	-0.17747747747747744	"NX_A0A075B6X5-1
nP20K TRAV18 TRAV18
T cell receptor
alpha variable 18
isoform Iso 1 PE=3"
8	NX_A0A075B6Y3-1	4	0.009999999999999986	"NX_A0A075B6Y3-1
nP20K TRAJ3 TRAJ3 T
cell receptor alpha
joining 3 isoform
Iso 1 PE=4"
9	NX_A0A075B6Y9-1	4	-0.33999999999999997	"NX_A0A075B6Y9-1
nP20K TRAJ42 TRAJ42
T cell receptor
alpha joining 42
isoform Iso 1 PE=4"
10	NX_A0A075B759-1	2	-0.4091463414634149	"NX_A0A075B759-1
nP20K PPIAL4E
PPIAL4E Peptidyl-
prolyl cis-trans
isomerase A-like 4E
isoform Iso 1 PE=2"
11	NX_A0A087WSZ9-1	3	-0.28392857142857136	"NX_A0A087WSZ9-1
nP20K TRAV30 TRAV30
T cell receptor
alpha variable 30
isoform Iso 1 PE=3"
12	NX_A0A087WT02-1	3	-0.08214285714285705	"NX_A0A087WT02-1
nP20K TRAV9-2
TRAV9-2 T cell
receptor alpha
variable 9-2 isoform
Iso 1 PE=3"
13	NX_A0A087WTH1-1	2	0.5129629629629627	"NX_A0A087WTH1-1
nP20K TMEM265
TMEM265
Transmembrane
protein 265 isoform
Iso 1 PE=2"
14	NX_A0A087WTH5-1	2	-0.3106060606060606	"NX_A0A087WTH5-1
nP20K KCNE1B KCNE1B
Potassium voltage-
gated channel
subfamily E member
1B isoform Iso 1
PE=2"
15	NX_A0A087WV53-1	4	-0.4571428571428574	"NX_A0A087WV53-1
nP20K SPEGNB SPEGNB
SPEG neighbor
protein isoform Iso
1 PE=4"
16	NX_A0A087WV62-1	3	-0.09652173913043473	"NX_A0A087WV62-1
nP20K TRBV16 TRBV16
T cell receptor beta
variable 16 isoform
Iso 1 PE=3"
17	NX_A0A087WVF3-1	2	-0.6655737704918027	"NX_A0A087WVF3-1
nP20K TBC1D3D
TBC1D3D TBC1 domain
family member 3D
isoform Iso 1 PE=2"
